value,grad
-1.9045373610157352,4.3724140264472505e-05
1.4135672025208137,-2.6316605429686213e-05
1.24547562843639,-2.7888950339536098e-05
-1.1481329175513957,4.161874962373703e-05
-0.6318497054964984,-4.4129868525501285e-05
1.7108990699287583,-3.012091808150183e-05
1.1804358609382433,2.209485782842913e-05
2.0593596598287522,-4.564549159467287e-05
1.5488957828734589,-1.6062644793466487e-05
1.4144285975335327,-2.677564279556868e-05
0.20029371959137088,-2.7130355512139085e-05
-0.35980214515393083,1.3657486428463367e-05
0.2602957054749663,2.202898281652074e-05
-1.906148726846182,3.262317556277019e-05
-0.9868401667152169,1.5540356558569454e-05
-2.0384740837929867,2.106437582333632e-05
-0.18162471253920326,-4.117697634711832e-06
0.417336321730234,-1.1645533591850325e-05
-0.0840910647692734,-2.3707098806878622e-05
0.45134205882837414,1.6498841773993348e-05
1.6305551248423407,-4.823254029429976e-05
-2.0834568687828923,8.707838376898305e-05
-0.5050260271001354,3.464575170401879e-05
-2.0884760643773634,6.55890969458824e-05
1.6778286040878219,-3.253904614912534e-05
-0.3850750852828004,3.9119023326264344e-05
-0.6792082826881353,4.0012172847858885e-05
1.2358786815588811,-3.7327145147317055e-05
0.5802678221966395,-1.5892928051421813e-05
-1.594914823393434,4.918554081219096e-05
0.27444224312676635,3.5422326506414415e-05
-0.541299505018355,4.500091481392886e-06
1.456029218897934,-4.323300065051936e-05
-0.00047401771898269497,-1.3456215191440745e-05
-1.441669085736598,5.075201214696935e-05
0.10472704465080529,2.143484947779381e-05
-1.6698258165363782,0.00014725677752453772
3.61987152985847,-0.0003071840480498567
1.8518396533510577,-0.00016225996733962124
1.7962412679457105,-0.00015906033793720693
-2.110100768417671,0.00016238675205827735
